kia_question,kia_answer
스마트 드라이브 케어(Smart Driver Care)가 무엇인가요?,"Smart Driver Care란 차량 주행 정보를 기반으로 운전습관 분석을 통해 안전운전점수 70점 이상을 달성한 고객의 보험료를 추가 할인해 드리는 혜택으로 기아와 현대해상 간의 제휴를 통해 UVO 장착 차량을 대상으로 한 UBI 특약보험입니다. 
* UBI = Usage Based Insurance 의 줄임말로 “운전습관기반보험” 을 의미함  
· 명칭 : Smart Driver Care
· 판매개시 : ‘19년 6월 13일 
· 보험사 : 현대해상 (커넥티드카 UBI특약) 
· 가입방법 : UVO 서비스 이용 고객이 자동차 보험 가입 시 운행 데이터 제공에 동의하면  이를 기반으로 안전운전점수 70점 이상 획득 시 UBI 특약 할인 적용 
· 고객혜택 : 자동차 보험료 할인 12% = UVO 장착 할인 7% + UBI 할인 5%
  안전운전점수
· 최근 90일 이내 1,000km 주행거리를 기준으로 UVO 앱을 통한 운전습관 분석 결과를 토대로 안전운전 점수 부여
기아자동차 UVO
· 스마트폰을 활용하여 차량을 원격제어 및 관리하는 어플리케이션 시스템
현대해상 UBI
· 차량 운전 데이터에 기반하여 안전 운전자에게 자동차 보험료를 할인해주는 특약보험
안전운전(UBI) 할인
· UBI 특약 가입 시점 기준, 보함 만기까지 잔여기간 내 할인율 적용
  * 보험관련 자세한 사항은 현대해상 고객센터(1588-5656)를 통해 확인하실 수 있습니다."
LPG 연료 차량의 장점이 무엇인가요?,"① 합리적인 차량 가격
· LPG를 연료로 하는 LPI 차량의 장점은 동급 가솔린 모델보다 차량 가격이 합리적입니다. 
② 저렴한 LPG 연료 가격
· LPG 연료 가격이 저렴하여 가솔린 대비 경제적입니다. 
· LPI 차량의 연비가 가솔린 차량보다 다소 낮지만 연료 가격이 가솔린 가격보다 저렴한 부분이 훨씬 크므로 결과적으로 25~30% 정도 유지 비용이 저렴합니다.
③ 환경기여
· 환경부 기준 미세먼지를 유발하는 질소산화물 배출량이 경유차 보다 7.5배 이상 적어 환경에 기여합니다."
LPG 연료 차량을 모든 사람이 구입할 수 있다는데 어떤 내용인가요?,"최근 정부가 내놓은 미세먼지 대책방안의 일환으로 LPG 연료 사용에 대한 규제가 완화됐습니다. 
이전까지 LPG 차량은 장애인/국가유공자가 소유할 수 있었고, 택시/렌터카 같은 사업용 차량, 경차 및 5인승 이상 RV 차량으로 용도와 구매 대상이 제한되어 왔습니다. 
  때문에 휘발유나 경유 값에 비해 50~60%에 불과할 정도로 연료 값이 저렴함에도 LPG 차량의 시장 점유율은 10%를 넘지 못 했으나 이번 미세먼지 대책 방안으로 인해 규제가 완전히 풀리게 되면서, LPG 차량의 보유가 확대될 것으로 보입니다. 
  당사에는 모닝 1.0 LPI, 더 뉴 레이 1.0 LPI, 봉고Ⅲ 2.4 LPI, K5 2.0 LPI, K7 3.0 LPI와 같은 5종의 LPG 모델 라인업을 갖고 있으며, 이번 LPG 규제 완화로 혜택을 볼 수 있는 당사의 차종은 K5 2.0 LPI, K7 3.0 LPI 차량입니다."
차량 구입 비용을 현금으로 결제하면 할인을 더 받을 수 있나요?,"차량 구입 비용 현금 결제 시 추가 할인은 없습니다.  
  신용카드가맹점은 신용카드로 거래한다는 이유로 신용카드 결제를 거절하거나 신용카드회원을 불리하게 대우할 수 없습니다. 현금으로 결제 시 할인 혜택은 신용카드회원에 대한 불리한 대우며, 현금 결제를 유도하거나 종용하는 행위는 여신전문금융업법 위반사항에 해당합니다. 
  * 여신전문금융업법 제19조(가맹점의 준수사항)  
① 신용카드가맹점은 신용카드로 거래한다는 이유로 신용카드 결제를 거절하거나 신용카드회원을 불리하게 대우하지 못한다.
[개정 2010.3.12] [시행일 2010.6.13]"
해약하는 경우 계약금을 돌려 받을 수 있나요?,"계약 후 차량 출고 전 해약은 고객님께서 계약하신 지점/대리점을 통해 진행 가능합니다. 
차량매매계약서, 통장 계좌(본인 명의), 신분증을 제출해주셔야 하며, 추가적인 상담 및 필요서류 확인을 위해 번거로우시더라도, 방문 전 지점/대리점 운영과에 유선 상담 바랍니다.  
  자동차 매매계약 체결 후 해약을 하시는 경우, 계약금은 전액 반환하여 드립니다. 금액은 계약하신 고객님 본인 명의의 통장 계좌로 입금처리 되므로, 해약 신청 시 통장 사본을 제출해주셔야 합니다."
장애인 면세로 차량구입 시 제출서류는 무엇인가요?,"차량 출고 전 제출서류
· 일반장애인 : 신분증, 장애인 증명서(관할 주민센터 발급) 제출 
· 국가유공상이자 : 신분증, 상이등급이 기재된 국가유공자 증서 제출  
  차량 출고 후 제출서류
· 일반장애인 : 장애인 증명서 사본, 자동차등록증 사본, 주민등록등본 원본  운전면허증 사본 (본인 또는 장애인과 생계를 함께 하는 자)  등록원부갑부 원본(공동명의 확인용)  
· 국가유공상이자 : 국가유공자증서 사본(상이등급 기재), 자동차등록증 사본, 주민등록등본 원본 운전면허증 사본 (본인 또는 장애인과 생계를 함께 하는 자) 등록원부갑부 원본(공동명의 확인용)  
  * 차량을 공동명의 및 할부로 구입하시면 추가 서류가 필요합니다.  자세한 사항은 영업직사원 통해 안내 받으실 수 있습니다."
특장차량 중 냉온장탑차는 어떤 차량인가요?,"고객 필요에 따라 냉동·히팅을 위해 탑 내 온도를 자유롭게 조절 가능한 차량입니다.
냉동, 히팅이 각각 독립된 시스템으로 작동되는데, 냉동시스템은 냉매를 사용하며 히팅시스템은 엔진 열기를  이용하여 겨울철에도 성능저하 없이 히팅 가능합니다. (냉동기 이상 여부와 상관없이 히팅시스템 구동 가능)  
  유용하게 사용하실 수 있는 업종  
· 냉동·냉장제품 운송업(축산물, 수산물, 채소, 야채, 유제품, 빙과류, 냉동식품 등)
· 온장제품 운송업(의약품, 출장뷔페, 급식업체, 식자재, 프린터 잉크 등)
· 겨울철에 도시락, 과일 등을 얼지 않게 배송해야 하는 고객   
· 항상 일정 온도(약 15ºC)로 관리해야 하는 의약품을 배송하는 고객  · 한파에 깨질 위험이 있는 유리병 제품(술, 음료수) 등을 배송하는 고객"
차량 구입 시 차량대금을 입금할 수 있는 입금계좌가 따로 있나요?,"자동차 매매대금의 송금은 별도로 통지하는 기아(주) 계좌로만 가능합니다. 
차량계약 후 계약자 본인의 가상계좌를 안내해드리고 있으며, 지정된 가상계좌는 계약하신 지점 또는 대리점에 문의하시면 확인 가능합니다.  
차량계약금 및 차량대금은 계약자 본인의 가상계좌로 송금하여 주시고, 무통장 입금증을 잘 보관하여 주시기 바랍니다.  
  가상계좌란?  
· 다수의 고객과 거래하는 기업이 은행으로부터 가상계좌를 발급받아 고객에게 부여하고, 수납대금이 개별 가상계좌에 입금되면 은행에서 실시간(또는 지정된 시각)으로 기업의 모계좌에  자동으로 이체해주는 서비스입니다."
차량 구입 시 납부하는 ‘의무보험료’는 무엇인가요?,"의무보험료는 차량이 출고된 후 임시운행기간 동안에만 유효한 보험입니다. 
  임시운행 기간 중 발생되는 교통사고 피해자의 피해배상 보장을 위한  자동차 손해배상 보장법 개정으로 임시운행 허가차량의 의무보험을 반드시 가입·납부하셔야 합니다.
  보상책임기간은 출고일부터 임시운행 허가기간인 10일 동안이며, 의무보험은 1회 소멸성 보험으로 임시운행증을 반납하거나  다른 책임보험에 가입하시는 경우 자동으로 해지됩니다.
  차량을 구입하신 경우 임시운행 허가기간 종료 이전에  1년 만기 책임보험 or 종합보험에 반드시 가입하셔야 합니다.  
  * 기타 의무보험과 관련한 사항은 현대해상화재보험 고객콜센터를 통해 상담받으실 수 있습니다.
(현대해상화재보험 고객 콜센터 : 1588-5656)"
기아 리스에 대해 알고 싶습니다.,"자동차 리스는 리스사(캐피탈사)가 고객이 원하는 자동차를 대신 구매하여 일정계약을 맺고 개인에게 차량을 대여하는 서비스 입니다. 자동차의 명의와 소유는 리스사(캐피탈사)이며, 고객이 매월 대여료를 납부하고 대여하는 방식의 자동차 금융 상품 입니다.
  고객의 다양한 Needs(차량/색상/옵션 등)에 맞는 맞춤형 차량 구성이 가능하며, 자동차 리스와 관련한 자세한 상담은 전국 기아차 영업점이나 현대캐피탈 고객센터(1588-5211)로 문의하시면 확인할 수 있습니다.  
  차량이 고장났을 경우 어떻게 해야 하나요?  
· 차량이 고장났을 경우, 고객님께서 직접 정비를 진행하셔야 합니다. 리스차량도 기아 보증기간이  동일하게 적용되며, 기아 정비 네트워크에서 수리 가능합니다.  
  월 납입금에 세금과 기타비용이 포함되어 있다고 하는데, 구체적으로 어떻게 되나요?  
· 차량 구매 후 납부하는 차량대금, 취·등록세, 자동차세, 공채비용 등이 월 납입금에 포함됩니다.  추가적으로 연 보험료도 월 납입금에 포함시켜 무이자로 분납할 수 있으며,  차량 운행 시 발생할 수 있는 범칙금 및 과태료도 대납 처리할 수 있습니다. (대납 후 별도 청구)
  상품설명
· 각종 세금 및 서비스 이용대금을 포함하고도 할부보다 40% 저렵하게 이용 가능"
경차 유류세 환급 제도는 어떤 내용인가요?,"정부에서 서민의 유류비 부담 완화를 위하여 경차 소유자의 유류세 일부를 환급해 주는 제도입니다.  
  ① 감면대상
· 배기량 1,000CC미만의 자동차를 소유한 자로서,  경차 소유자 및 주민등록표상 동거가족이 소유한 승용차 또는 승합차 각각의 합계가 1대인 경우   
· 에너지 및 자원사업 특별회계법 시행령 제 3조 제 1항 제 10호의 2에 따른,  지원사업의 수혜대상자인 장애인 또는 국가유공자가 아닌 경우 
  ② 감면내용
· 휘발유·경유 250원/ℓ, LPG 160.82원/ℓ 할인  (유류세 환급 단가는 정부정책에 따라 변동 가능)
  ③ 감면한도 : 최대 20만원
  ④ 적용기한 : ’18.12.31  
* 해당 제도는 자동차 관련 주요 정책·제도 변경에 따라 변동될 수 있습니다. (조세특례제한법) 
* 경차 유류세 환급제도는 2008년도에 한시적으로 도입하여 2년마다 갱신·운영되고 있는 제도이며,  정부 정책에 따라 운영 기간은 변동될 수 있습니다.   
  환급대상
① 경형승용차 1대만 소유한 경우(모닝, 레이등)
② 경형승합차 1대만 소유한 경우
③ 경형승용차와 경형승합차 각 1대씩만 소유한 경우
· 경형승용차, 경형승합차 각 1대씩 총 2대를 소유헸다면 모두 가능
④ 경형승용차 1대와 화물차 1대 소유한 경우
⑤ 경형승용차 1대를 공동명의로 소유한 경우(1인만)
⑥ 경형승용(승합)차 1대 소유자가 사업자인 경우
  비 환급대상
① 경형승용차 1대와 승용차 1대 소유한 경우
② 경형승용(승합)차 1대만 소유하고 있으나 장애인 또는 국가유공자 
유류비 지원 대상인 경우
③ 경형승용차 1대와 개인택시(승용차) 1대 소유한 경우
④ 경형승용(승합)차 1대였으나 세대 합가로 2차량이 된 경우
· 세대가 추후 분리된 경우 가능"
장기 렌터카를 구입하고 싶습니다. 어떻게 하면 되나요?,"전국의 기아 영업지점이나, 렌터카영업소를 통해 구입 상담이 가능합니다.  
기아렌터카 영업소
판매 네트워크 "
"차량(구입, 등록, 소유 시)에 부과되는 세금은 어떤 종류가 있나요?","구입 단계 : 개별소비세, 교육세, 부가가치세가 차량 가격에 포함되어 부과  
등록 단계 : 취득세 부과  
소유 단계 : 자동차세 연단위로 부과  
  * 그 외에 공채 매입과경유자동차에 부과되는 환경개선부담금이 있습니다.  
자세한 내용은 기아홈페이지에서 확인하실 수 있습니다.
세금 "
경차 구입 시 어떤 혜택을 받을 수 있나요?,"① 개소세 면제 및 취등록세 감면
· 4%(단, 취득세액이 50만원 이하인 경우에는 면제)
  ② 저렴한 자동차세
· 모닝 998c 기준 자동차세 79,840원 + 지방교육세 23,952원
  ③ 유류세 환급
· 매년 20만원 한도 내에서 리터 당 250원 환급 가능
(각종 카드사에서 발급 가능한 경차전용 카드 사용만 가능)
  ④ 기타
· 이외에도 공영 주차장 50% 할인, 통행 요금 50% 할인 등 다양한 혜택을 누리실 수 있습니다."
차량 구입 시 차량에 장착되는 타이어를 선택할 수 있나요?,"차량에 장착되는 타이어는 엄격한 품질조사를 통해 최상의 부품을 선정하여 공급하고 있습니다.
자동차부품은 품질향상 및 안정적 부품공급을 위해 복수업체를 사용하고 있으며,
따라서 차량에 장착되는 타이어는 제조사 별 임의 선택은 불가합니다."
차량 구입 시 세금계산서 발급 대상은 어떻게 되나요?,"부가가치세법에 의거 개인 및 사업자 구분과 차종에 따라 영수증 또는 세금계산서를 발급하게 되어있습니다.
당사에서는 개인인 경우 경차, 상용차, 버스, 카니발 차량에 한하여세금계산서를 발급하며 이외의 차종은 영수증을 발행하여 드립니다.
또한, 사업자인 경우에는 차종에 관계없이 세금계산서를 발행하여 드립니다. 
세금계산서와 영수증은 차량 출하 시 발급되며, 재발급이 필요하신 경우 차량을 구입하신 판매점(지점, 대리점)을 통해 확인 가능하십니다."
자동차 구입 비용은 소득공제 및 현금영수증을 받을 수 있나요?,"부동산·자동차 등 등기·등록이 되는 재산의 구입비용은 현금영수증 제도 시행부터 근로자의 소득공제 대상에서 제외하고 있으며, 소득공제 제외 대상이 되는 지출의 경우에는 현금영수증 발급대상에서도 제외되고 있습니다.  
* 소득공제 제외항목 : 자동차, 부동산, 선박, 상호, 상표권 등  
  참고로 연말정산 및 세무상담에 관한 자세한 사항은 국세청 홈페이지 또는 대표상담전화 국번없이 126에서 안내 받으실 수 있습니다.
국세청"
차종별로 구동방식은 어떻게 적용되나요?,"① 전륜 구동방식
· 승용 : 더 뉴 모닝, 더 뉴 프라이드, 더 뉴 K3(쿱), K5, 올 뉴 K7  
· RV : 레이, 쏘울(EV), 카렌스, 스포티지, 쏘렌토, 카니발, 니로, 스토닉 
  ② 후륜 구동방식  
· 승용 : 더 뉴 K9, 스팅어  
·  RV : 더 뉴 모하비  
· 상용 : 봉고Ⅲ 트럭  
  ③ 4륜 구동방식  
· 스포티지, 쏘렌토, 더 뉴 모하비  
* 4륜 선택 차종에 한함"
기아에서 실시하는 이벤트가 있나요?,"기아에서 실시하는 이벤트는 홈페이지에서 확인 또는 참여하실 수 있습니다.
참고로 이벤트는 매월 시장, 계절 또는 월별 특성에 맞추어 계획/운영되기 때문에매월 이벤트 내용이 변경될 수 있습니다.
진행 중인 이벤트 "
차종별 판매조건은 어떻게 되나요?,"이달의 판매조건은 기아 홈페이지 > 구매 > 이 달의 구매 혜택에서 확인 가능합니다. 
또한, 판매조건은 시장 및 재고 상황을 고려하고, 계절 또는 월별 특성에 맞추어 계획/운영되기 때문에매월 조건이 변경될 수 있습니다.
  기아는 전국 어디서나 동일한 가격과 조건으로 판매되고 있으며, 자세한 내용은지점/대리점에 문의하여 주시기 바랍니다.
이 달의 구매 혜택 "
"신차는 자동세차를 이용하면 안 좋다는데, 사실인가요?","맞습니다.
자동세차기의 사용은 차체의 잔 긁힘으로 도장 면이 손상될 수 있습니다. 
신차일수록 더욱 손상될 수 있으므로 자동세차보다는 손 세차를 하시는 것이 좋습니다. 
또한, 세차 후에는 물기가 마를 때까지 직사광선을 피하시고, 가급적 물기를 빨리 말리는 것이 물 얼룩 예방에 좋습니다."
신차 길들이기 어떻게 해야합니까?,"최초 1,000km 전까지의 주행은 차량의 수명과 성능을 좌우하므로 이 기간 동안은 과속, 급가속, 급제동 등을 가급적 자제해주십시오.  
· 엔진 회전수를 4,000rpm 이내로 주행하십시오. 
· 속도에 알맞게 변속하십시오. 
· 장시간 엔진 공회전시키지 마십시오.  
  연비, 엔진 성능 및 엔진 오일 소모량은 길들이기 상태에 따라 달라질 수 있고 약 6,000km 주행 후 안정됩니다."
